Fecha;Abrir;Máx.;Mín.;Cierre;Cierre ajus
10/08/2023;1,0982;1,1004;1,0952;1,0982;1,0982
09/08/2023;1,0978;1,1058;1,0968;1,0978;1,0978
08/08/2023;1,0959;1,0994;1,0956;1,0959;1,0959
07/08/2023;1,1003;1,101;1,0931;1,1003;1,1003
06/08/2023;1,1003;1,1012;1,0966;1,1003;1,1003
03/08/2023;1,0952;1,1041;1,0936;1,0952;1,0952
02/08/2023;1,0944;1,0954;1,0914;1,0944;1,0944
01/08/2023;1,1008;1,1007;1,092;1,1008;1,1008
31/07/2023;1,0998;1,1002;1,0954;1,0998;1,0998
30/07/2023;1,1024;1,1045;1,1006;1,1024;1,1024
27/07/2023;1,0979;1,1047;1,0947;1,0979;1,0979
26/07/2023;1,1078;1,1152;1,0985;1,1078;1,1078
25/07/2023;1,105;1,1086;1,1038;1,105;1,105
24/07/2023;1,1063;1,1089;1,1022;1,1063;1,1063
23/07/2023;1,1125;1,1145;1,1069;1,1125;1,1125
20/07/2023;1,1137;1,1147;1,111;1,1137;1,1137
19/07/2023;1,1205;1,123;1,1133;1,1205;1,1205
18/07/2023;1,1229;1,124;1,1176;1,1229;1,1229
17/07/2023;1,1238;1,1276;1,122;1,1238;1,1238
16/07/2023;1,1228;1,1251;1,1205;1,1228;1,1228
13/07/2023;1,1223;1,1245;1,1206;1,1223;1,1223
12/07/2023;1,1145;1,1196;1,1131;1,1145;1,1145
11/07/2023;1,1014;1,1126;1,1013;1,1014;1,1014
10/07/2023;1,1006;1,1026;1,0979;1,1006;1,1006
09/07/2023;1,097;1,0993;1,0945;1,097;1,097
06/07/2023;1,0891;1,0965;1,0869;1,0891;1,0891
05/07/2023;1,0857;1,0902;1,0834;1,0857;1,0857
04/07/2023;1,0885;1,0906;1,0865;1,0885;1,0885
03/07/2023;1,0913;1,0918;1,0891;1,0913;1,0913
02/07/2023;1,0908;1,0931;1,0872;1,0908;1,0908
29/06/2023;1,0868;1,0934;1,0836;1,0868;1,0868
28/06/2023;1,0916;1,0941;1,0862;1,0916;1,0916
27/06/2023;1,0957;1,0963;1,09;1,0957;1,0957
26/06/2023;1,091;1,0976;1,0903;1,091;1,091
